# Expression Atlas									
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0.5 TPM in experiment E-GEOD-52564									
# Selected columns: 8 (all)									
# Timestamp: Fri, 08-Oct-2021 15:29:21									
Gene ID	Gene Name	astrocyte	endothelial cell	microglia	mixture	myelinating oligodendrocytes	neuron	newly formed oligodendrocytes	oligodendrocyte precursor cells
ENSMUSG00000002055	Spag5	51	5	2	18	0.6	3	2	24
ENSMUSG00000002058	Unc119	54	5	8	41	8	198	46	92
ENSMUSG00000002059	Rab34	387	26	83	78	45	74	66	111
ENSMUSG00000002064	Sdf2	257	201	107	131	121	181	153	205
ENSMUSG00000002068	Ccne1	16	5	2	13	2	16	7	16
ENSMUSG00000002076	Hsf2bp		1	2			0.5		
ENSMUSG00000002083	Bbc3	20	72	103	29	12	93	49	30
ENSMUSG00000002100	Mybpc3			22	4				2
ENSMUSG00000002102	Psmc3	120	271	183	153	215	164	232	243
ENSMUSG00000002103	Acp2	84	26	98	52	22	55	53	93
ENSMUSG00000002104	Rapsn			14	0.8				0.7
ENSMUSG00000002105	Slc39a13	30	12	32	17	12	19	17	31
ENSMUSG00000002107	Celf2	53	2	7	60	1	46	5	26
ENSMUSG00000002108	Nr1h3	11	12	5	5		1	1	4
ENSMUSG00000002109	Ddb2	43	6	7	11	3	14	10	22
ENSMUSG00000002111	Spi1			875	21	5	3	2	35
ENSMUSG00000002129	Sf3a1	105	55	43	59	24	92	48	68
ENSMUSG00000002147	Stat6	6	74	273	18	2	3	0.7	16
ENSMUSG00000002190	Clgn	0.6		9	10	6	42	14	31
ENSMUSG00000002204	Napsa		2	5	0.8		0.5		0.6
ENSMUSG00000002205	Vrk3	19	16	19	15	26	12	27	28
ENSMUSG00000002210	Smg9	42	26	72	34	32	45	35	43
ENSMUSG00000002221	Paxip1	16	8	4	18	8	18	17	20
ENSMUSG00000002222	Rmnd5a	75	54	14	65	21	102	64	61
ENSMUSG00000002227	Mov10	14	9	16	10	0.8	4	2	7
ENSMUSG00000002228	Ppm1j		34	0.7	6		1		1
ENSMUSG00000002233	Rhoc	142	1406	232	133	132	18	112	204
ENSMUSG00000002249	Tead3	46		5	7		32	1	4
ENSMUSG00000002250	Ppard	14	60	41	17	16	9	22	18
ENSMUSG00000002257	Def6	2	89	33	14		2		3
ENSMUSG00000002265	Peg3	35	3		60	4	258	13	38
ENSMUSG00000002266	Zim1	2			5		10	0.6	5
ENSMUSG00000002274	Metrn	96	0.9	2	33	97	7	115	121
ENSMUSG00000002279	Lmf1	12	7	14	7	24	4	31	17
ENSMUSG00000002280	Ciao3	22	9	21	12	15	11	16	17
ENSMUSG00000002289	Angptl4	195	415	5	44	2	12	2	8
ENSMUSG00000002297	Dbf4	7	9	1	7		4	2	7
ENSMUSG00000002307	Daxx	30	23	28	31	14	44	26	36
ENSMUSG00000002308	Cd320	48	183	16	25	33	21	35	41
ENSMUSG00000002319	Ipo4	34	12	21	32	8	44	19	29
ENSMUSG00000002320	Tm9sf1	76	61	43	36	30	34	41	59
ENSMUSG00000002324	Rec8	0.6	3				0.6		
ENSMUSG00000002325	Irf9	24	32	13	14	2	13	8	10
ENSMUSG00000002326	Gmpr2	12	11	11	8	7	9	13	14
ENSMUSG00000002329	Mdp1	54	82	37	64	71	62	88	67
ENSMUSG00000002332	Dhrs1	242	44	44	107	111	76	107	105
ENSMUSG00000002341	Ncan	1951	4	6	662	15	206	42	269
ENSMUSG00000002342	Tmem161a	75	37	39	40	73	51	85	53
ENSMUSG00000002343	Armc6	30	15	16	44	27	54	41	44
ENSMUSG00000002345	Borcs8	29	50	39	36	54	44	37	42
ENSMUSG00000002346	Slc25a42	60	9	2	15	5	11	9	17
ENSMUSG00000002365	Snx9	27	76	45	27	16	8	24	49
ENSMUSG00000002372	Ranbp3	50	30	45	44	31	62	62	57
ENSMUSG00000002379	Ndufa11	71	123	67	106	132	136	131	119
ENSMUSG00000002384	Bmp8b				0.5		0.7	1	
ENSMUSG00000002393	Nr2f6	14	31	39	19	13	11	15	21
ENSMUSG00000002395	Use1	53	197	159	87	76	93	60	85
ENSMUSG00000002396	Ocel1	4	16	11	10	11	9	10	4
ENSMUSG00000002409	Dyrk1b	36	17	19	21	20	39	34	27
ENSMUSG00000002413	Braf	37	13	2	26	2	64	12	22
ENSMUSG00000002416	Ndufb2	10	18	4	18	9	32	11	13
ENSMUSG00000002428	Hltf	19	15	6	19	4	21	20	31
ENSMUSG00000002455	Prpf6	64	48	32	49	22	66	41	63
ENSMUSG00000002458	Rgs19	13	36	99	33	3	24	8	28
ENSMUSG00000002459	Rgs20	125		0.6	32	2	8	3	15
ENSMUSG00000002475	Abhd3	400	3	7	84	79	22	153	137
ENSMUSG00000002477	Snrpd1	64	76	19	67	23	86	66	88
ENSMUSG00000002486	Tchp	19	4	7	10	3	13	6	9
ENSMUSG00000002489	Tiam1	4	108	4	25	1	16	4	14
ENSMUSG00000002496	Tsc2	60	20	30	49	40	54	58	69
ENSMUSG00000002500	Rpl3l	1	0.7	1	1		0.5		
ENSMUSG00000002504	Slc9a3r2	17	602	16	78	331	42	182	37
ENSMUSG00000002524	Puf60	117	115	106	104	164	149	228	180
ENSMUSG00000002546	Golga2	81	36	39	61	56	81	80	70
ENSMUSG00000002550	Uck1	52	19	26	32	29	50	47	50
ENSMUSG00000002565	Scin				0.6				
ENSMUSG00000002578	Ikzf4	8			12	0.5	14	2	8
ENSMUSG00000002580	Mien1	38	82	70	104	219	97	166	100
ENSMUSG00000002602	Axl	255	21	24	71	7	14	11	64
ENSMUSG00000002603	Tgfb1	3	83	440	19	3	1	1	18
ENSMUSG00000002608	Ccdc97	36	34	107	39	39	52	59	55
ENSMUSG00000002617	Zfp40	29	10		14	2	9	9	12
ENSMUSG00000002625	Akap8l	112	53	77	77	31	105	63	85
ENSMUSG00000002633	Shh				2		2	1	5
ENSMUSG00000002635	Pdcd2l	31	31	65	29	29	46	46	48
ENSMUSG00000002658	Gtf2f1	157	103	99	149	119	146	169	143
ENSMUSG00000002660	Clpp	76	59	56	82	95	106	126	130
ENSMUSG00000002661	Alkbh7	33	18	21	31	21	44	27	30
ENSMUSG00000002664	Pspn	5	1	0.9	2	3	4	3	1
